Angle (degrees),Experimental Current 7V (A),Theoretical Current 7V (A),Difference 7V (A),Experimental Current 13V (A),Theoretical Current 13V (A),Difference 13V (A)
0,6.6,10.2,3.5999999999999996,18.6,18.6,0.0
5,9.0,5.508695903551501e-13,8.99999999999945,11.4,3.1421517140364457e-13,11.399999999999686
10,10.2,1.5075679690119485e-13,10.199999999999848,9.0,2.0628593081113204e-13,8.999999999999794
15,6.6,3.632683162391187e-15,6.599999999999996,4.8,6.537848578132184e-15,4.799999999999994
20,5.4,1.2943060271377007e-13,5.399999999999871,3.6,4.7051665059054565e-14,3.599999999999953
25,1.2,5.962045911319038e-14,1.1999999999999402,1.8,4.195828416926019e-14,1.799999999999958
30,0.6,2.058043689948901e-15,0.5999999999999979,0.12,8.931186793615178e-15,0.11999999999999106
35,0.0,3.649984471918799e-14,3.649984471918799e-14,0.0,2.448761711831158e-14,2.448761711831158e-14
40,0.0,1.5950113436729393e-16,1.5950113436729393e-16,0.0,1.415535351299245e-14,1.415535351299245e-14
45,0.0,2.1347846829045664e-14,2.1347846829045664e-14,0.0,1.057059769782676e-14,1.057059769782676e-14
50,0.0,1.6705942682883268e-14,1.6705942682883268e-14,0.0,3.335583145567761e-15,3.335583145567761e-15
55,0.0,3.115063061734617e-17,3.115063061734617e-17,0.0,6.5239905600441656e-15,6.5239905600441656e-15
60,0.0,1.4632241768285448e-15,1.4632241768285448e-15,0.0,9.921077217084124e-15,9.921077217084124e-15
65,0.0,5.7187266462296e-15,5.7187266462296e-15,0.0,6.15813383741599e-16,6.15813383741599e-16
70,0.0,2.0622432278015555e-15,2.0622432278015555e-15,0.0,9.1213049123206e-15,9.1213049123206e-15
75,0.0,9.460078527550306e-15,9.460078527550306e-15,0.0,3.658230309199155e-15,3.658230309199155e-15
80,0.0,1.5708993763727937e-14,1.5708993763727937e-14,0.0,6.9141243831233634e-15,6.9141243831233634e-15
85,0.0,1.1677818266331545e-14,1.1677818266331545e-14,0.0,6.049659463576028e-16,6.049659463576028e-16
